Source,Target,BDeu
AT3G50330.1,AT1G17310.1,-29.6625317941544
AT1G67100.1,AT1G17310.1,-29.6625317941544
AT3G50330.1,AT2G43140.1,-29.6625317941544
AT5G39610.1,AT2G43140.1,-29.6625317941544
AT1G25560.1,AT5G53660.1,-29.6625317941544
AT1G36060.1,AT5G53660.1,-29.6625317941544
AT1G57560.1,AT2G36080.1,-29.6625317941544
AT4G17500.1,AT2G36080.1,-29.6625317941544
AT1G36060.1,AT2G43140.2,-29.6625317941544
AT5G67060.1,AT2G43140.2,-29.6625317941544
AT4G11140.1,AT5G48890.1,-53.3586548022626
AT4G17500.1,AT1G44830.1,-63.1806564418494
AT5G47230.1,AT1G44830.1,-63.1806564418494
AT4G17500.1,AT1G71030.1,-63.1806564418494
AT5G47230.1,AT1G71030.1,-63.1806564418494
AT4G17500.1,AT2G25900.1,-63.1806564418494
AT5G47230.1,AT2G25900.1,-63.1806564418494
AT4G17500.1,AT2G25900.2,-63.1806564418494
AT5G47230.1,AT2G25900.2,-63.1806564418494
AT4G17500.1,AT3G01970.1,-63.1806564418494
AT5G47230.1,AT3G01970.1,-63.1806564418494
AT4G17500.1,AT3G16770.1,-63.1806564418494
AT5G47230.1,AT3G16770.1,-63.1806564418494
AT4G17500.1,AT3G60530.1,-63.1806564418494
AT5G47230.1,AT3G60530.1,-63.1806564418494
AT4G17500.1,AT4G00180.1,-63.1806564418494
AT5G47230.1,AT4G00180.1,-63.1806564418494
AT4G17500.1,AT4G00180.2,-63.1806564418494
AT5G47230.1,AT4G00180.2,-63.1806564418494
AT4G17500.1,AT4G00730.1,-63.1806564418494
AT5G47230.1,AT4G00730.1,-63.1806564418494
AT4G17500.1,AT4G00730.2,-63.1806564418494
AT5G47230.1,AT4G00730.2,-63.1806564418494
AT4G17500.1,AT5G12330.1,-63.1806564418494
AT5G47230.1,AT5G12330.1,-63.1806564418494
AT4G17500.1,AT5G12330.2,-63.1806564418494
AT5G47230.1,AT5G12330.2,-63.1806564418494
AT4G17500.1,AT5G12330.4,-63.1806564418494
AT5G47230.1,AT5G12330.4,-63.1806564418494
AT4G17500.1,AT5G12330.3,-63.1806564418494
AT5G47230.1,AT5G12330.3,-63.1806564418494
AT3G50330.1,AT2G46990.1,-64.046757429199
AT1G67100.1,AT2G46990.1,-64.046757429199
AT1G25560.1,AT3G15030.2,-67.8974368043817
AT1G36060.1,AT3G15030.2,-67.8974368043817
AT1G25560.1,AT3G15030.1,-67.8974368043817
AT1G36060.1,AT3G15030.1,-67.8974368043817
AT1G25560.1,AT3G15030.3,-67.8974368043817
AT1G36060.1,AT3G15030.3,-67.8974368043817
AT1G57560.1,AT3G02550.1,-86.0488540614293
AT5G47220.1,AT3G02550.1,-86.0488540614293
AT4G17500.1,AT5G64750.1,-89.4070340579937
AT5G47230.1,AT5G64750.1,-89.4070340579937
AT1G25560.1,AT1G53230.1,-91.4912717719355
AT1G36060.1,AT1G53230.1,-91.4912717719355
AT1G52890.1,AT3G56400.1,-93.7637428846698
AT5G39610.1,AT3G56400.1,-93.7637428846698
AT1G36060.1,AT5G57520.1,-111.808176305083
