Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	"GO:0006351~transcription, DNA-templated"	10	83.33333333	5.31E-08	"AT2G46970, AT3G50330, AT1G25560, AT1G36060, AT3G60390, AT5G39610, AT1G42990, AT1G74840, AT2G28550, AT5G67060"	12	1886	18499	8.173824673	2.60E-06	2.60E-06	5.09E-05
GOTERM_BP_DIRECT	"GO:0006355~regulation of transcription, DNA-templated"	10	83.33333333	1.48E-07	"AT2G46970, AT3G50330, AT1G25560, AT1G36060, AT3G60390, AT1G42990, AT4G28110, AT1G74840, AT2G28550, AT5G67060"	12	2119	18499	7.275051125	7.26E-06	3.63E-06	1.42E-04
GOTERM_BP_DIRECT	GO:0048462~carpel formation	2	16.66666667	0.001782916	"AT3G50330, AT5G67060"	12	3	18499	1027.722222	0.083726939	0.028726277	1.696425704
GOTERM_BP_DIRECT	GO:0010500~transmitting tissue development	2	16.66666667	0.002376579	"AT3G50330, AT5G67060"	12	4	18499	770.7916667	0.110050858	0.028727043	2.255541709
GOTERM_BP_DIRECT	GO:0009873~ethylene-activated signaling pathway	3	25	0.004835314	"AT1G25560, AT1G36060, AT2G28550"	12	179	18499	25.83659218	0.211407104	0.046390493	4.540993714
GOTERM_BP_DIRECT	GO:0048467~gynoecium development	2	16.66666667	0.011831636	"AT3G50330, AT5G67060"	12	20	18499	154.1583333	0.441894447	0.092626572	10.78471346
GOTERM_BP_DIRECT	GO:0009737~response to abscisic acid	3	25	0.021915768	"AT5G39610, AT4G28110, AT1G74840"	12	394	18499	11.73794416	0.66237342	0.143684502	19.14109246
GOTERM_BP_DIRECT	GO:0010468~regulation of gene expression	2	16.66666667	0.049978847	"AT5G39610, AT5G67060"	12	86	18499	35.85077519	0.918916872	0.269506574	38.83438288
GOTERM_BP_DIRECT	GO:0009723~response to ethylene	2	16.66666667	0.07133018	"AT5G39610, AT1G74840"	12	124	18499	24.86424731	0.97338017	0.331620981	50.81241633
GOTERM_BP_DIRECT	GO:0010200~response to chitin	2	16.66666667	0.076322745	"AT1G42990, AT4G28110"	12	133	18499	23.18170426	0.979559467	0.322281685	53.29006508
