Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	"GO:0006351~transcription, DNA-templated"	11	78.57142857	2.54E-08	"AT2G46970, AT3G50330, AT1G25560, AT1G36060, AT3G60390, AT5G39610, AT1G42990, AT1G74840, AT2G28550, AT5G47640, AT5G67060"	14	1886	18499	7.706748977	1.30E-06	1.30E-06	2.46E-05
GOTERM_BP_DIRECT	"GO:0006355~regulation of transcription, DNA-templated"	11	78.57142857	7.86E-08	"AT2G46970, AT3G50330, AT1G25560, AT1G36060, AT3G60390, AT1G42990, AT4G28110, AT1G74840, AT2G28550, AT5G47640, AT5G67060"	14	2119	18499	6.859333918	4.01E-06	2.00E-06	7.61E-05
GOTERM_BP_DIRECT	GO:0048462~carpel formation	2	14.28571429	0.002106855	"AT3G50330, AT5G67060"	14	3	18499	880.9047619	0.10198	0.035219161	2.019640508
GOTERM_BP_DIRECT	GO:0010500~transmitting tissue development	2	14.28571429	0.002808229	"AT3G50330, AT5G67060"	14	4	18499	660.6785714	0.133610871	0.035220096	2.683820246
GOTERM_BP_DIRECT	GO:0009873~ethylene-activated signaling pathway	3	21.42857143	0.006770776	"AT1G25560, AT1G36060, AT2G28550"	14	179	18499	22.14565044	0.292829769	0.066950265	6.360979145
GOTERM_BP_DIRECT	GO:0048467~gynoecium development	2	14.28571429	0.013968505	"AT3G50330, AT5G67060"	14	20	18499	132.1357143	0.5119884	0.112697529	12.72302511
GOTERM_BP_DIRECT	GO:0009737~response to abscisic acid	3	21.42857143	0.030223101	"AT5G39610, AT4G28110, AT1G74840"	14	394	18499	10.061095	0.790943554	0.200359477	25.68717263
GOTERM_BP_DIRECT	GO:0010468~regulation of gene expression	2	14.28571429	0.05879689	"AT5G39610, AT5G67060"	14	86	18499	30.72923588	0.954516799	0.320434413	44.35659931
GOTERM_BP_DIRECT	GO:0009723~response to ethylene	2	14.28571429	0.083746014	"AT5G39610, AT1G74840"	14	124	18499	21.31221198	0.988443942	0.390804572	57.09154309
GOTERM_BP_DIRECT	GO:0010200~response to chitin	2	14.28571429	0.089564902	"AT1G42990, AT4G28110"	14	133	18499	19.87003222	0.991649767	0.380316605	59.65626085
