TAIR_ID	Name	Species
AT1G25560	AP2/B3 transcription factor family protein(TEM1)	Arabidopsis thaliana
AT1G42990	basic region/leucine zipper motif 60(BZIP60)	Arabidopsis thaliana
AT3G60390	homeobox-leucine zipper protein 3(HAT3)	Arabidopsis thaliana
AT5G39610	NAC domain containing protein 6(NAC6)	Arabidopsis thaliana
AT1G36060	Integrase-type DNA-binding superfamily protein(AT1G36060)	Arabidopsis thaliana
AT4G28110	myb domain protein 41(MYB41)	Arabidopsis thaliana
AT2G46970	phytochrome interacting factor 3-like 1(PIL1)	Arabidopsis thaliana
AT5G47630	mitochondrial acyl carrier protein 3(mtACP3)	Arabidopsis thaliana
AT1G74840	Homeodomain-like superfamily protein(AT1G74840)	Arabidopsis thaliana
AT5G67060	basic helix-loop-helix (bHLH) DNA-binding superfamily protein(HEC1)	Arabidopsis thaliana
AT5G47640	"nuclear factor Y, subunit B2(NF-YB2)"	Arabidopsis thaliana
AT2G28550	related to AP2.7(RAP2.7)	Arabidopsis thaliana
AT3G50330	basic helix-loop-helix (bHLH) DNA-binding superfamily protein(HEC2)	Arabidopsis thaliana
AT3G06740	GATA transcription factor 15(GATA15)	Arabidopsis thaliana
