Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0006351~transcription, DNA-templated	17	85.0	9.229683944654744E-14	AT3G50330, AT1G25560, AT3G60390, AT5G53660, AT5G47230, AT5G51780, AT5G39610, AT1G42990, AT1G17310, AT1G74840, AT2G28550, AT2G46970, AT1G36060, AT2G36080, AT1G47760, AT5G47640, AT5G67060	20	1886	18499	8.337301166489926	5.627831534127381E-12	5.627831534127381E-12	9.278133816792433E-11
GOTERM_BP_DIRECT	GO:0006355~regulation of transcription, DNA-templated	16	80.0	1.811812631920936E-11	AT3G50330, AT1G25560, AT3G60390, AT5G53660, AT5G47230, AT5G51780, AT1G42990, AT1G74840, AT2G28550, AT2G46970, AT1G36060, AT2G36080, AT4G28110, AT2G43140, AT5G47640, AT5G67060	20	2119	18499	6.984049079754601	1.1052085913121346E-9	5.526042956560673E-10	1.8221235631443733E-8
GOTERM_BP_DIRECT	GO:0009873~ethylene-activated signaling pathway	4	20.0	7.701797258134706E-4	AT1G25560, AT1G36060, AT5G47230, AT2G28550	20	179	18499	20.669273743016763	0.04591170982423254	0.015544275826361864	0.7718647071317863
GOTERM_BP_DIRECT	GO:0048462~carpel formation	2	10.0	0.003078250258912735	AT3G50330, AT5G67060	20	3	18499	616.6333333333333	0.1714373834916202	0.045927597399102904	3.05296054980958
GOTERM_BP_DIRECT	GO:0010500~transmitting tissue development	2	10.0	0.004102337263772993	AT3G50330, AT5G67060	20	4	18499	462.475	0.22178875687411315	0.048914632268476144	4.049866637730826
GOTERM_BP_DIRECT	GO:0010200~response to chitin	3	15.0	0.008097726216549595	AT5G47230, AT1G42990, AT4G28110	20	133	18499	20.863533834586466	0.39102139530948354	0.07933774357303025	7.851556159174766
GOTERM_BP_DIRECT	GO:0006357~regulation of transcription from RNA polymerase II promoter	3	15.0	0.019837929268116342	AT5G51780, AT4G28110, AT1G74840	20	213	18499	13.027464788732393	0.7054415737666995	0.16021647541372808	18.250718693325062
GOTERM_BP_DIRECT	GO:0048467~gynoecium development	2	10.0	0.02035280219700713	AT3G50330, AT5G67060	20	20	18499	92.495	0.7147328692759236	0.14511742154316754	18.68155923040057
GOTERM_BP_DIRECT	GO:0009737~response to abscisic acid	3	15.0	0.060962413114703566	AT5G39610, AT4G28110, AT1G74840	20	394	18499	7.042766497461928	0.9784393651692047	0.3470930633668807	46.87781299477035
GOTERM_BP_DIRECT	GO:0010468~regulation of gene expression	2	10.0	0.08476851516813251	AT5G39610, AT5G67060	20	86	18499	21.510465116279068	0.9954981806582824	0.4174424887028154	58.96812461311789
