AT1G15750	gene:2036203	AT1G15750.1	functions in	protein binding	GO:0005515	3877	F	protein binding	IPI	yeast two-hybrid assay	AGI_LocusCode:AT2G28550	Publication:501745851|PMID:22065421  	bcausier	2011-12-22
AT1G22985	locus:505006142	AT1G22985	functions in	protein binding	GO:0005515	3877	F	protein binding	IPI	Bimolecular fluorescence complementation (BiFC)	AGI_LocusCode:AT4G11140	Publication:501742993|PMID:21705390  	arashotte	2011-06-29
AT1G42990	gene:2009873	AT1G42990.1	located in	nucleus	GO:0005634	537	C	nucleus	ISM	predicted protein features		AnalysisReference:501750651	rkaundal	2012-08-31
AT1G42990	locus:2009874	AT1G42990	functions in	DNA binding	GO:0003677	961	F	DNA or RNA binding	ISS	manually reviewed TIGR computational analysis	Pfam:PF00170	Communication:501714663	TIGR	2002-02-08
AT1G42990	locus:2009874	AT1G42990	has	DNA binding	GO:0003677	961	F	DNA or RNA binding	IEA	none	UniProtKB-KW:KW-0238	AnalysisReference:501756968		2017-05-10
AT1G42990	locus:2009874	AT1G42990	has	transcription factor activity, sequence-specific DNA binding	GO:0003700	4449	F	transcription factor activity	IDA	transcriptional activation assay		Publication:501715166|PMID:15781873  	vorwerk	2005-08-30
AT1G42990	locus:2009874	AT1G42990	has	transcription factor activity, sequence-specific DNA binding	GO:0003700	4449	F	transcription factor activity	ISS	Recognized domains		Publication:1345963|PMID:11118137  	TAIR	2003-06-06
AT1G42990	locus:2009874	AT1G42990	has	transcription factor activity, sequence-specific DNA binding	GO:0003700	4449	F	transcription factor activity	ISS	Recognized domains		Publication:1547369|PMID:11906833  	TAIR	2004-02-26
AT1G42990	locus:2009874	AT1G42990	has	transcription factor activity, sequence-specific DNA binding	GO:0003700	4449	F	transcription factor activity	ISS	manually reviewed TIGR computational analysis	Pfam:PF00170	Communication:501714663	TIGR	2002-02-08
AT1G42990	locus:2009874	AT1G42990	involved in	endoplasmic reticulum unfolded protein response	GO:0030968	19007	P	other cellular processes	IEP	Correlation of expression with a physiological assay		Publication:501715166|PMID:15781873  	vorwerk	2005-08-30
AT1G42990	locus:2009874	AT1G42990	involved in	endoplasmic reticulum unfolded protein response	GO:0030968	19007	P	other cellular processes	IMP	expression of another gene in a mutant background of this gene		Publication:501729102|PMID:19017746  	TAIR	2009-01-20
AT1G42990	locus:2009874	AT1G42990	involved in	endoplasmic reticulum unfolded protein response	GO:0030968	19007	P	response to stress	IEP	Correlation of expression with a physiological assay		Publication:501715166|PMID:15781873  	vorwerk	2005-08-30
AT1G42990	locus:2009874	AT1G42990	involved in	endoplasmic reticulum unfolded protein response	GO:0030968	19007	P	response to stress	IMP	expression of another gene in a mutant background of this gene		Publication:501729102|PMID:19017746  	TAIR	2009-01-20
AT1G42990	locus:2009874	AT1G42990	involved in	endoplasmic reticulum unfolded protein response	GO:0030968	19007	P	signal transduction	IEP	Correlation of expression with a physiological assay		Publication:501715166|PMID:15781873  	vorwerk	2005-08-30
AT1G42990	locus:2009874	AT1G42990	involved in	endoplasmic reticulum unfolded protein response	GO:0030968	19007	P	signal transduction	IMP	expression of another gene in a mutant background of this gene		Publication:501729102|PMID:19017746  	TAIR	2009-01-20
AT1G42990	locus:2009874	AT1G42990	involved in	immune system process	GO:0002376	24701	P	other biological processes	IEA	none	UniProtKB-KW:KW-0391	AnalysisReference:501756968		2016-08-01
AT1G42990	locus:2009874	AT1G42990	involved in	regulation of transcription, DNA-templated	GO:0006355	7461	P	other cellular processes	IEA	none	UniProtKB-KW:KW-0805	AnalysisReference:501756968		2016-08-01
AT1G42990	locus:2009874	AT1G42990	involved in	regulation of transcription, DNA-templated	GO:0006355	7461	P	other cellular processes	ISS	manually reviewed TIGR computational analysis	Pfam:PF00170	Communication:501714663	TIGR	2002-02-08
